OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
fgExplicitProxyUsers,1.3.6.1.4.1.12356.101.10.112.2.1.1,integer32,read-only,objecttype,column,"Number of current users in this virtual domain"
fgExplicitProxySessions,1.3.6.1.4.1.12356.101.10.112.2.1.2,integer32,read-only,objecttype,column,"Number of current sessions in this virtual domain"
fgExplicitProxyScanStatsTable,1.3.6.1.4.1.12356.101.10.112.3,,no-access,objecttype,table,"A table of explicit proxy scan statistics per virtual domain"
fgExplicitProxyScanStatsEntry,1.3.6.1.4.1.12356.101.10.112.3.1,,no-access,objecttype,row,"Explicit proxy scan statistics for a particular virtual domain"
fgExplicitProxyScanStatsDisp,1.3.6.1.4.1.12356.101.10.112.3.1.1,fgscanavdisposition,no-access,objecttype,column,"Disposition of an Scan result"
fgExplicitProxyVirus,1.3.6.1.4.1.12356.101.10.112.3.1.2,counter32,read-only,objecttype,column,"Number of viruses in this virtual domain"
fgExplicitProxyBannedWords,1.3.6.1.4.1.12356.101.10.112.3.1.3,counter32,read-only,objecttype,column,"Number of elements containing banned words in this virtual domain"
fgExplicitProxyPolicy,1.3.6.1.4.1.12356.101.10.112.3.1.4,counter32,read-only,objecttype,column,"Number of elements violating policy (e.g. filename or file type rules) in this virtual domain"
fgExplicitProxyOversized,1.3.6.1.4.1.12356.101.10.112.3.1.5,counter32,read-only,objecttype,column,"Number of oversized elements in this virtual domain"
fgExplicitProxyArchNest,1.3.6.1.4.1.12356.101.10.112.3.1.6,counter32,read-only,objecttype,column,"Number of too deeply nested archives in this virtual domain"
fgExplicitProxyArchSize,1.3.6.1.4.1.12356.101.10.112.3.1.7,counter32,read-only,objecttype,column,"Number of archives that decompress beyond size limit in this virtual domain"
fgExplicitProxyArchEncrypted,1.3.6.1.4.1.12356.101.10.112.3.1.8,counter32,read-only,objecttype,column,"Number of encrypted archives in this virtual domain"
fgExplicitProxyArchMultiPart,1.3.6.1.4.1.12356.101.10.112.3.1.9,counter32,read-only,objecttype,column,"Number of multipart archives in this virtual domain"
fgExplicitProxyArchUnsupported,1.3.6.1.4.1.12356.101.10.112.3.1.10,counter32,read-only,objecttype,column,"Number of archives with unsupported (but known) formats in this virtual domain"
fgExplicitProxyArchBomb,1.3.6.1.4.1.12356.101.10.112.3.1.11,counter32,read-only,objecttype,column,"Number of archive bombs in this virtual domain"
fgExplicitProxyArchCorrupt,1.3.6.1.4.1.12356.101.10.112.3.1.12,counter32,read-only,objecttype,column,"Number of corrupt archives in this virtual domain"
fgExplicitProxyScriptStatsTable,1.3.6.1.4.1.12356.101.10.112.4,,no-access,objecttype,table,"A table of explicit proxy script filtering statistics per virtual domain"
fgExplicitProxyScriptStatsEntry,1.3.6.1.4.1.12356.101.10.112.4.1,,no-access,objecttype,row,"Explicit proxy scan statistics for a particular virtual domain"
fgExplicitProxyFilteredApplets,1.3.6.1.4.1.12356.101.10.112.4.1.1,counter32,read-only,objecttype,column,"Number of applets filtered from files in this virtual domain"
fgExplicitProxyFilteredActiveX,1.3.6.1.4.1.12356.101.10.112.4.1.2,counter32,read-only,objecttype,column,"Number of ActiveX scripts filtered from files in this virtual domain"
fgExplicitProxyFilteredJScript,1.3.6.1.4.1.12356.101.10.112.4.1.3,counter32,read-only,objecttype,column,"Number of JScript scripts filtered from files in this virtual domain"
fgExplicitProxyFilteredJS,1.3.6.1.4.1.12356.101.10.112.4.1.4,counter32,read-only,objecttype,column,"Number of JavaScript scripts filtered from files in this virtual domain"
fgExplicitProxyFilteredVBS,1.3.6.1.4.1.12356.101.10.112.4.1.5,counter32,read-only,objecttype,column,"Number of Visual Basic scripts filtered from files in this virtual domain"
fgExplicitProxyFilteredOthScript,1.3.6.1.4.1.12356.101.10.112.4.1.6,counter32,read-only,objecttype,column,"Number of other types of scripts filtered from files in this virtual domain"
fgExplicitProxyFilterStatsTable,1.3.6.1.4.1.12356.101.10.112.5,,no-access,objecttype,table,"A table of explicit proxy policy enforcement statistics per virtual domain"
fgExplicitProxyFilterStatsEntry,1.3.6.1.4.1.12356.101.10.112.5.1,,no-access,objecttype,row,"Explicit proxy scan statistics for a particular virtual domain"
fgExplicitProxyBlockedDLP,1.3.6.1.4.1.12356.101.10.112.5.1.1,counter32,read-only,objecttype,column,"Number of elements blocked due to Data Leak Prevention in this virtual domain"
fgExplicitProxyBlockedConType,1.3.6.1.4.1.12356.101.10.112.5.1.2,counter32,read-only,objecttype,column,"Number of elements blocked due to Content-Type filtering rules in this virtual domain"
fgExplicitProxyExaminedURLs,1.3.6.1.4.1.12356.101.10.112.5.1.3,counter32,read-only,objecttype,column,"Number of URLs inspected against filtering rules in this virtual domain"
fgExplicitProxyAllowedURLs,1.3.6.1.4.1.12356.101.10.112.5.1.4,counter32,read-only,objecttype,column,"Number of URLs explicitly allowed due to filtering rules in this virtual domain"
fgExplicitProxyBlockedURLs,1.3.6.1.4.1.12356.101.10.112.5.1.5,counter32,read-only,objecttype,column,"Number of URLs explicitly blocked due to filtering rules in this virtual domain"
fgExplicitProxyLoggedURLs,1.3.6.1.4.1.12356.101.10.112.5.1.6,counter32,read-only,objecttype,column,"Number of URLs logged due to filtering rules in this virtual domain"
fgExplicitProxyOverriddenURLs,1.3.6.1.4.1.12356.101.10.112.5.1.7,counter32,read-only,objecttype,column,"Number of URLs access due to overriding filtering rules in this virtual domain"
fgAppWebCache,1.3.6.1.4.1.12356.101.10.113,,,objectidentity,,""
fgWebCacheInfo,1.3.6.1.4.1.12356.101.10.113.1,,,objectidentity,,""
fgWebCacheRAMLimit,1.3.6.1.4.1.12356.101.10.113.1.1,gauge32,read-only,objecttype,scalar,"RAM available for web cache in bytes"
fgWebCacheRAMUsage,1.3.6.1.4.1.12356.101.10.113.1.2,gauge32,read-only,objecttype,scalar,"RAM used by web cache in bytes"
fgWebCacheRAMHits,1.3.6.1.4.1.12356.101.10.113.1.3,gauge32,read-only,objecttype,scalar,"Number of cache hits in RAM since last reset"
fgWebCacheRAMMisses,1.3.6.1.4.1.12356.101.10.113.1.4,gauge32,read-only,objecttype,scalar,"Number of cache misses in RAM since last reset"
fgWebCacheRequests,1.3.6.1.4.1.12356.101.10.113.1.5,gauge32,read-only,objecttype,scalar,"Number of cache requests since last reset"
fgWebCacheBypass,1.3.6.1.4.1.12356.101.10.113.1.6,gauge32,read-only,objecttype,scalar,"Number of cache bypasses since last reset"
fgWebCacheUpTime,1.3.6.1.4.1.12356.101.10.113.1.7,counter32,read-only,objecttype,scalar,"Web Cache up-time (in seconds)"
fgWebCacheDiskStatsTable,1.3.6.1.4.1.12356.101.10.113.2,,no-access,objecttype,table,"A table of the Web Cache disk statistics per disk"
fgWebCacheDiskStatsEntry,1.3.6.1.4.1.12356.101.10.113.2.1,,no-access,objecttype,row,"The Web Cache disk statistics for a particular disk"
fgWebCacheDisk,1.3.6.1.4.1.12356.101.10.113.2.1.1,unsigned32,no-access,objecttype,column,"The Web Cache Disk index"
